university,country,city,program,field,level,tuition_usd_yearly,min_cgpa,scholarship_available,scholarship_details,application_deadline,qs_rank,ielts_min,accommodation_available,part_time_work,website,source_url,admission_requirements,source_dataset
Monash University,Australia,Melbourne,Bachelor of Computer Science — AI / Data Science specialisations,Data Science,Bachelor,38311,3.0,Yes,Over 360 scholarship types; values and eligibility vary.,Semester 1 (February) and Semester 2 (July); application route depends on applic,9999.0,0.0,Yes,Yes,https://www.monash.edu/,https://www.monash.edu/study/courses/find-a-course/computer-science-c2001?international=true,"International applicants must have an Australian Year 12 equivalent and required academic score; 2027 examples include A-levels 9, IB 28, SAT 1190, ATAR 80; country-specific equivalents apply.",Tayyaba-verified
The University of Melbourne,Australia,Melbourne,Bachelor of Science — Computer Science major,Computer Science,Bachelor,29250,3.0,Yes,Melbourne International Undergraduate Scholarship; Melbourne Chancellor's Scholarship and other scholarships.,Direct international application: 30 Nov 2026 for Feb 2027; 31 May 2027 for July,9999.0,0.0,Yes,Yes,https://www.unimelb.edu.au/,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science/how-to-apply; https://study.unimelb.edu.au/h,Recognised secondary qualification equivalent to Australian Year 12 plus course prerequisites; international applicants must meet English requirements.,Tayyaba-verified
UNSW Sydney,Australia,Sydney,Bachelor of Science (Computer Science),Computer Science,Bachelor,39650,3.0,Yes,UNSW awards scholarships to international students; university states it awards over AUD 83 million in scholarships annually.,Applications close by program/intake; UNSW directs applicants to current interna,9999.0,0.0,Yes,Yes,https://www.unsw.edu.au/,https://www.unsw.edu.au/study/undergraduate/bachelor-of-computer-science?studentType=International,"International academic entry requirements; 2026 lowest selection rank 93.0, A levels 15.0, IB 37. International applicants apply through UNSW Applicant Portal/UAC depending on circumstances.",Tayyaba-verified
University of Sydney,Australia,Sydney,Master of Engineering,Engineering,Master,36000,3.0,Yes,Vice-Chancellor scholarship up to 40%,2027-01-15,18.0,6.5,Yes,Yes,,,,demo-sample
University of British Columbia,Canada,Vancouver,MBA,Business,Master,45000,3.2,Yes,Dean's scholarship up to 30%,2027-01-31,38.0,7.0,Yes,Yes,,,,demo-sample
University of British Columbia (UBC),Canada,Vancouver,Computer Science,Computer Science,Bachelor,38750,3.0,Yes,UBC International Scholars Program and other international awards.,2026-11-15,9999.0,0.0,Yes,Yes,https://www.ubc.ca/,https://you.ubc.ca/programs/computer-science-vancouver-bsc/; https://students.ubc.ca/finances/tuition-fees/undergraduate,International admission requirements vary by curriculum; Computer Science BSc includes Science requirements and program-specific requirements.,Tayyaba-verified
University of Toronto,Canada,Toronto,Computer Science / Data & Computer Science,Data Science,Bachelor,29250,3.0,Yes,"Pearson Scholarship for international students; university also has other awards. Pearson covers tuition, books, incidental fees and residence for four years for selected scholars.",2027 full-time international deadline: Jan 15 for listed major faculties/program,9999.0,0.0,Yes,Yes,https://www.utoronto.ca/,https://future.utoronto.ca/program/computer-science; https://future.utoronto.ca/deadlines; https://future.utoronto.ca/en,International applicants need senior-level English and program prerequisites; CS requires advanced mathematics; U of T may require a supplemental application for St. George CS.,Tayyaba-verified
Tsinghua University,China,Beijing,BS Computer Science,Computer Science,Bachelor,5000,3.5,Yes,Chinese government scholarship (full),2027-01-31,25.0,6.0,Yes,Yes,,,,demo-sample
Karlsruhe Institute of Technology (KIT),Germany,Karlsruhe,Computer Science / Informatics,Computer Science,Bachelor,3240,3.0,Yes,DAAD and KIT funding/financial-aid opportunities; specific awards vary.,Application deadline varies by programme/intake; check current KIT application p,9999.0,0.0,Yes,Yes,https://www.kit.edu/,https://www.kit.edu/; https://www.intl.kit.edu/istudies/12591.php,Recognised higher education entrance qualification; programme-specific application and admission requirements apply; international documents may require verification.,Tayyaba-verified
RWTH Aachen University,Germany,Aachen,Computer Science (Informatik),Computer Science,Bachelor,250,3.0,Yes,RWTH notes that full-coverage university scholarships are not typical; DAAD/foundations and other funding opportunities are available.,Deadline varies by admission status/semester; consult current RWTH application p,9999.0,0.0,Yes,Yes,https://www.rwth-aachen.de/,https://sc.informatik.rwth-aachen.de/en/studium/bachelor/informatik/; https://www.rwth-aachen.de/cms/root/studium/Vor-de,International applicants need a recognised university entrance qualification; programme is German-taught and admission/document requirements depend on qualification and applicant status.,Tayyaba-verified
Technical University of Munich (TUM),Germany,Munich/Garching,Informatics,Computer Science,Bachelor,6480,3.0,Yes,Scholarships/tuition waivers may be available depending on eligibility.,15 May–15 July for winter semester,9999.0,0.0,Yes,Yes,https://www.tum.de/,https://www.tum.de/en/studies/degree-programs/detail/informatics-bachelor-of-science-bsc; https://www.tum.de/en/studies/,Higher education entrance qualification; international applicants generally need preliminary documentation (VPD) via uni-assist; passport and authentic academic documents; aptitude assessment.,Tayyaba-verified
Multimedia University (MMU),Malaysia,Cyberjaya,BS Software Engineering; BS Cybersecurity,Computer Science,Bachelor,3800,2.5,Yes,Merit/need-based scholarships — confirm on official site,2026-08-01,9999.0,5.0,Yes,Yes,,https://www.mmu.edu.my/admissions,,Azmat-KB
Sunway University,Malaysia,Petaling Jaya,BS Computer Science; BS Information Technology,Computer Science,Bachelor,5400,2.5,Yes,Merit/need-based scholarships — confirm on official site,2026-09-01,9999.0,5.0,Yes,Yes,,https://university.sunway.edu.my/admission,,Azmat-KB
Universiti Teknologi Malaysia (UTM),Malaysia,Johor Bahru,BS Computer Science; BS Information Technology,Computer Science,Bachelor,4200,2.7,Yes,Merit/need-based scholarships — confirm on official site,2026-06-30,9999.0,5.5,Yes,Yes,,https://www.utm.my/international,,Azmat-KB
University of Malaya,Malaysia,Kuala Lumpur,BS Business Administration,Business,Bachelor,6000,3.0,Yes,ASEAN scholarship 50%,2026-12-15,58.0,5.5,Yes,Yes,,,,demo-sample
University of Southampton Malaysia,Malaysia,Johor,BEng Computer Science; Electronic Engineering,Computer Science,Bachelor,9500,3.2,Yes,Merit/need-based scholarships — confirm on official site,2026-04-15,9999.0,6.0,Yes,Yes,,https://www.southampton.edu.my/admissions,,Azmat-KB
